company_name,Score,risk_level
Albatros Zweefvliegclub,1.0,medium
Brugs Motoren Bedrijf nv,2.0,medium
Climax,10.0,high
DHATI BVBA,5.0,medium
De Zwerver,1.0,medium
Electro Zwijsen Nv,1.0,medium
P.J.F. BVBA,5.0,medium
Van Laer-Mazet/Chris,2.0,medium
YDA-Trans SPRL,1.0,medium
ZZED NV,1.0,medium
ZZIP BVBA,11.0,high
Zeebrugse Visveiling NV,2.0,medium
Zuster Agnes,1.0,medium
Zweko BVBA,35.0,prohibited
Zwick Roell Belux CV,2.0,medium
Zyx CVBA,2.0,medium
Zzlite,2.0,medium
Zzmogh VZW,1.0,medium
