OriginalCompanyName,CleanedCompanyName,Status,Timestamp
Artielle/C.,Artielle/C.,not found in KBO data table,2024-12-17 08:17:41
Paulca sprl,Paulca,ENT LP Stopped,2024-12-17 08:17:57
Peeters/Joseph,Peeters/Joseph,not found in KBO data table,2024-12-17 08:18:13
Fiducial Expertise,Fiducial Expertise,EU Stopped,2024-12-17 08:18:29
Faja Lobi,Faja Lobi,ENT LP Active,2024-12-17 08:18:45
Fondation pour l'architecture,Fondation pour l'architecture,not found in KBO data table,2024-12-17 08:19:01
Dialogic sa [DIALOGIC S.A.],Dialogic sa [DIALOGIC S.A.],not found in KBO data table,2024-12-17 08:19:17
Cambier D,Cambier D,not found in KBO data table,2024-12-17 08:19:32
Gun Productions BVBA,Gun Productions,ENT LP Active,2024-12-17 08:19:48
Konica Minolta Business Solutions (Belgium) NV,Konica Minolta Business Solutions (Belgium),EU Active,2024-12-17 08:20:04
DB Optical,DB Optical,No result found for this search term,2024-12-17 08:20:19
Dethier B SA,Dethier B SA,not found in KBO data table,2024-12-17 08:20:35
Demeestere Rik,Demeestere Rik,not found in KBO data table,2024-12-17 08:20:51
Briffaerts bvba,Briffaerts,ENT LP Stopped,2024-12-17 08:21:06
Dhondt A &amp W BVBA,Dhondt A &amp W,No result found for this search term,2024-12-17 08:21:22
Notteboom/Sofie,Notteboom/Sofie,not found in KBO data table,2024-12-17 08:21:37
Dams Alex bvba [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],Dams Alex  [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],not found in KBO data table,2024-12-17 08:21:53
Kapas BVBA,Kapas,EU Active,2024-12-17 08:22:09
MTO [M.T.O.],MTO [M.T.O.],not found in KBO data table,2024-12-17 08:22:25
Raes D,Raes D,not found in KBO data table,2024-12-17 08:22:41
Charlier Tuinen bvba,Charlier Tuinen,ENT LP Active,2024-12-17 08:22:56
VIA Onze-Lieve-Vrouwe-Instituut ASO,VIA Onze-Lieve-Vrouwe-Instituut ASO,No result found for this search term,2024-12-17 08:23:12
HOPITAL ERASME - UNIVERSITE LIBRE DE BRUXELLES [CAMPUS HOSPITALO-FACULTAIRE D'ANDERLECHT],HOPITAL ERASME - UNIVERSITE LIBRE DE BRUXELLES [CAMPUS HOSPITALO-FACULTAIRE D'ANDERLECHT],No result found for this search term,2024-12-17 08:23:28
Serafino Decoratie BVBA,Serafino Decoratie,ENT LP Active,2024-12-17 08:23:43
Ceulenaere,Ceulenaere,not found in KBO data table,2024-12-17 08:23:59
PM Zeefdruk,PM Zeefdruk,EU Active,2024-12-17 08:24:15
Beauty Spot (The),Beauty Spot (The),not found in KBO data table,2024-12-17 08:24:31
S.V.T. BVBA,S.V.T.,ENT LP Active,2024-12-17 08:24:46
ActiveIdea SA,ActiveIdea SA,not found in KBO data table,2024-12-17 08:25:02
Rifo BVBA,Rifo,ENT LP Active,2024-12-17 08:25:17
De Maere-Hofman/P.,De Maere-Hofman/P.,No result found for this search term,2024-12-17 08:25:33
Gotelaere/Marc [LUNCH EXPRESS],Gotelaere/Marc [LUNCH EXPRESS],No result found for this search term,2024-12-17 08:25:49
Bulcke P,Bulcke P,not found in KBO data table,2024-12-17 08:26:04
Benoit et Lef?vre agence,Benoit et Lef?vre agence,No result found for this search term,2024-12-17 08:26:20
Garden Sides,Garden Sides,EU Stopped,2024-12-17 08:26:35
Charme et Beaut̩,Charme et Beaut̩,No result found for this search term,2024-12-17 08:26:51
Van Ransbeeck-Vermeersch/Dirk,Van Ransbeeck-Vermeersch/Dirk,No result found for this search term,2024-12-17 08:27:08
European Consulting Quality Safety SPRL,European Consulting Quality Safety,No result found for this search term,2024-12-17 08:27:24
Wambeke R,Wambeke R,No result found for this search term,2024-12-17 08:27:39
BS Parts,BS Parts,not found in KBO data table,2024-12-17 08:27:55
Maes-Sauvillers/P.,Maes-Sauvillers/P.,No result found for this search term,2024-12-17 08:28:10
Deneef/Dirk [VECTOR IT],Deneef/Dirk [VECTOR IT],No result found for this search term,2024-12-17 08:28:26
Stoa [STOA NV],Stoa [STOA ],not found in KBO data table,2024-12-17 08:28:41
Nijs/Steven,Nijs/Steven,not found in KBO data table,2024-12-17 08:28:57
UBCA,UBCA,not found in KBO data table,2024-12-17 08:29:13
Van De Pol,Van De Pol,not found in KBO data table,2024-12-17 08:29:31
Nextage,Nextage,ENT LP Active,2024-12-17 08:29:46
Medata Nv,Medata,ENT LP Stopped,2024-12-17 08:30:02
Orangette (L'),Orangette (L'),not found in KBO data table,2024-12-17 08:30:18
EXELMANS KRISTOF,EXELMANS KRISTOF,not found in KBO data table,2024-12-17 08:30:33
JMP Cars,JMP Cars,not found in KBO data table,2024-12-17 08:30:49
C J International Belgium bvba [R & G DOBBELAERE],C J International Belgium  [R & G DOBBELAERE],No result found for this search term,2024-12-17 08:31:04
Publi Dema BVBA,Publi Dema,ENT LP Active,2024-12-17 08:31:20
Vervaeke,Vervaeke,not found in KBO data table,2024-12-17 08:31:37
Lemoine Belgium NV,Lemoine Belgium,ENT LP Stopped,2024-12-17 08:31:53
Centea Agentschap Steven Sadones & Jozef Dockers,Centea Agentschap Steven Sadones & Jozef Dockers,No result found for this search term,2024-12-17 08:32:08
Impaco,Impaco,ENT LP Stopped,2024-12-17 08:32:24
Transunie,Transunie,ENT LP Stopped,2024-12-17 08:32:39
Vlaamse Judofederatie VZW,Vlaamse Judofederatie,EU Active,2024-12-17 08:32:55
International Lashing Systems nv [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],International Lashing Systems  [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],not found in KBO data table,2024-12-17 08:33:10
Bufkens/Patrick,Bufkens/Patrick,No result found for this search term,2024-12-17 08:33:26
Promelek,Promelek,not found in KBO data table,2024-12-17 08:33:41
Vannut/Joseph,Vannut/Joseph,No result found for this search term,2024-12-17 08:33:57
Rivi?ra B BVBA,Rivi?ra B,not found in KBO data table,2024-12-17 08:34:12
Beazar-Janssens G. [TRADON BVBA],Beazar-Janssens G. [TRADON ],No result found for this search term,2024-12-17 08:34:28
Ickx Design,Ickx Design,EU Active,2024-12-17 08:34:43
Thys F & J,Thys F & J,not found in KBO data table,2024-12-17 08:34:59
Cowa Europe,Cowa Europe,ENT LP Active,2024-12-17 08:35:15
CEM Container Barging NV,CEM Container Barging,EU Active,2024-12-17 08:35:30
Marissens Kantoor,Marissens Kantoor,not found in KBO data table,2024-12-17 08:35:46
Bureau No?l,Bureau No?l,not found in KBO data table,2024-12-17 08:36:01
D'Hondt Geert,D'Hondt Geert,EU Stopped,2024-12-17 08:36:17
Maison des Jeunes,Maison des Jeunes,not found in KBO data table,2024-12-17 08:36:34
Maes Carlo bvba [MASTIFF SIERPANELEN],Maes Carlo  [MASTIFF SIERPANELEN],No result found for this search term,2024-12-17 08:36:49
Dimitex Diffusion SPRL,Dimitex Diffusion,ENT LP Stopped,2024-12-17 08:37:05
